23,"t","Cattle Death Loss: Released May 5, 2006, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
23,"t","Losses of Cattle and Calves:  Predator and Non-Predator"
23,"t","Number of Head and Total Value, United States, 2005 1/"
23,"h","","","",""
23,"h","","Number","","Total"
23,"h","Cause","of Head","% of Total","Value"
23,"h","","","",""
23,"u","","Number","Percent","1,000 Dollars"
23,"d","Predator",,,
23,"d","  Coyotes",97000,51.1,43911
23,"d","  Dogs",21900,11.5,10786
23,"d","  Mountain Lions",,,
23,"d","   & Bobcats 2/",14700,7.7,7590
23,"d","  Vultures 3/",8600,4.5,3807
23,"d","  Wolves",4400,2.3,2087
23,"d","  Bears",2800,1.5,1453
23,"d","  Other Predators",9300,4.9,5735
23,"d","  Unknown Predators 4/",31300,16.5,17305
23,"d","",,,
23,"d","  Total Predator",190000,100.0,92674
23,"d",""
23,"d","Non-Predator",,,
23,"d","  Digestive Problems",648000,16.8,367441
23,"d","  Respiratory Problems",1110000,28.7,692430
23,"d","  Metabolic Problems",78000,2.0,64991
23,"d","  Mastitis",67000,1.7,64695
23,"d","  Other Diseases",174000,4.5,124833
23,"d","  Lameness/Injury",132000,3.4,104427
23,"d","  Weather Related",275000,7.1,172491
23,"d","  Calving Problems",572000,14.8,328193
23,"d","  Poisoning",39000,1.0,28736
23,"d","  Theft",21000,0.5,13920
23,"d","  Other Non-Predator",271000,7.0,225066
23,"d","  Unknown Non-Predator",474000,12.3,311352
23,"d","",,,
23,"d","  Total Non-Predator",3861000,100.0,2498575
23,"d","",,,
23,"d","US Total",4051000,100.0,2591249
23,"c",""
23,"f","1/  Totals may not add due to rounding.  Cattle includes all cows, bulls, steers, and heifers weighing over 500 pounds.  This includes beef and milk breeds as well as cattle on feed.  Calves include beef and milk breed steers, heifers, and bulls weighing less than 500 pounds."
23,"f","2/  Includes cougars, pumas, and lynx."
23,"f","3/  Reports of death loss to cattle/calves by vultures is primarily due to black vultures and will occur only in states where this species ranges.  See range map of black vultures at:  http:/www.birds.cornell.edu/AllAboutBirds/Bird Guide/Black_Vulture_dtl.html map."
23,"f","4/  The category of unknown predators was not included in the 'Cattle Predator Loss' report released May 2001."
2,"t","Cattle Death Loss: Released May 5, 2006, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Losses of Cattle and Calves:  By All Causes, Predators and Non-Predators,"
2,"t","Number by State and United States, 2005 1/"
2,"h","","","","","","",""
2,"h","","All Causes","All Causes","Predators","Predators","Non-Predators","Non-Predators"
2,"h","","","","","","",""
2,"h","State","Cattle","Calves","Cattle","Calves","Cattle","Calves"
2,"h","","","","","","",""
2,"u","","Head","Head","Head","Head","Head","Head"
2,"d","AL",21000,28000,1500,5500,19500,22500
2,"d","AZ",24000,22000,700,2600,23300,19400
2,"d","AR",30000,43000,1800,4500,28200,38500
2,"d","CA",100000,165000,1400,5100,98600,159900
2,"d","CO",50000,55000,700,4000,49300,51000
2,"d","CT",900,1000,,,900,1000
2,"d","DE",600,700,,,600,700
2,"d","FL",25000,35000,1700,6100,23300,28900
2,"d","GA",21000,31000,1700,5900,19300,25100
2,"d","HI",3000,2000,200,300,2800,1700
2,"d","ID",42000,63000,500,2000,41500,61000
2,"d","IL",21000,35000,200,2200,20800,32800
2,"d","IN",15000,29000,300,1200,14700,27800
2,"d","IA",65000,110000,,1400,65000,108600
2,"d","KS",135000,70000,700,3900,134300,66100
2,"d","KY",35000,76000,1400,5800,33600,70200
2,"d","LA",26000,20000,900,3700,25100,16300
2,"d","ME",1600,3100,,,1600,3100
2,"d","MD",3000,5000,,100,3000,4900
2,"d","MA",1000,1000,,100,1000,900
2,"d","MI",25000,47000,,400,25000,46600
2,"d","MN",42000,82000,100,1700,41900,80300
2,"d","MS",22000,29000,1200,2600,20800,26400
2,"d","MO",70000,120000,1400,4000,68600,116000
2,"d","MT",20000,46000,600,2400,19400,43600
2,"d","NE",95000,75000,500,2200,94500,72800
2,"d","NV",6000,13000,200,1100,5800,11900
2,"d","NH",800,1000,,,800,1000
2,"d","NJ",1000,1000,,,1000,1000
2,"d","NM",26000,35000,2200,4800,23800,30200
2,"d","NY",35000,50000,100,800,34900,49200
2,"d","NC",15000,22000,500,1800,14500,20200
2,"d","ND",12000,40000,500,2300,11500,37700
2,"d","OH",22000,33000,400,1900,21600,31100
2,"d","OK",100000,135000,2000,9600,98000,125400
2,"d","OR",23000,42000,400,4100,22600,37900
2,"d","PA",33000,45000,1000,2000,32000,43000
2,"d","RI",100,200,,,100,200
2,"d","SC",6000,10000,200,1400,5800,8600
2,"d","SD",53000,85000,300,2300,52700,82700
2,"d","TN",38000,63000,1200,5400,36800,57600
2,"d","TX",300000,270000,4100,35000,295900,235000
2,"d","UT",15000,26000,100,2500,14900,23500
2,"d","VT",6000,8000,100,200,5900,7800
2,"d","VA",27000,56000,1400,3800,25600,52200
2,"d","WA",21000,23000,900,1600,20100,21400
2,"d","WV",7000,11000,100,1500,6900,9500
2,"d","WI",65000,140000,300,2700,64700,137300
2,"d","WY",11000,31000,500,3500,10500,27500
